"Date","Price","Open","High","Low","Change %"
"01/22/2026","2.246","2.252","2.300","2.223","-1.75%"
"01/21/2026","2.286","2.332","2.348","2.279","-2.35%"
"01/20/2026","2.341","2.275","2.355","2.275","2.95%"
"01/19/2026","2.274","2.186","2.279","2.186","4.22%"
"01/16/2026","2.182","2.168","2.189","2.168","0.97%"
"01/15/2026","2.161","2.173","2.173","2.144","-0.87%"
"01/14/2026","2.180","2.178","2.192","2.175","0.79%"
"01/13/2026","2.163","2.112","2.163","2.112","3.79%"
"01/12/2026","2.084","2.084","2.084","2.084","-0.48%"
"01/09/2026","2.094","2.077","2.099","2.074","0.87%"
"01/08/2026","2.076","2.109","2.110","2.073","-2.26%"
"01/07/2026","2.124","2.120","2.128","2.110","-0.42%"
"01/06/2026","2.133","2.117","2.134","2.102","0.61%"
"01/05/2026","2.120","2.083","2.128","2.083","2.32%"
"01/02/2026","2.072","2.072","2.072","2.072","0.00%"
"01/01/2026","2.072","2.072","2.072","2.072","-0.34%"
"12/31/2025","2.079","2.082","2.079","2.079","0.43%"
"12/30/2025","2.070","2.055","2.077","2.044","0.68%"
"12/29/2025","2.056","2.032","2.059","2.032","0.78%"
"12/26/2025","2.040","2.042","2.057","2.034","-0.49%"
"12/25/2025","2.050","2.044","2.054","1.999","0.29%"
"12/24/2025","2.044","2.039","2.045","2.016","0.20%"
"12/23/2025","2.040","2.055","2.065","2.029","-2.11%"
"12/22/2025","2.084","2.025","2.103","2.025","3.02%"
